product_id,warehouse_id,inventory_level,lead_time_days,average_daily_demand,demand_std,safety_stock,reorder_point,days_of_inventory,stockout_risk,overstock
P001,W001,2025.0,13.0,96.75975359342915,23.211367572738506,138.0881303292988,1395.9649270438779,20.92812274521455,MEDIUM,False
P001,W002,1199.0,11.0,96.20328542094455,24.231031618736434,132.6026462682682,1190.8387858986582,12.463191820878958,MEDIUM,False
P001,W003,1070.0,10.0,96.42642026009582,25.00149776579094,130.45176846159205,1094.7159710625504,11.096543842588321,HIGH,False
P001,W004,1539.0,14.0,96.85215605749487,23.860066737790046,147.3057216813127,1503.2359064862408,15.890198655839889,MEDIUM,False
P002,W001,1758.0,10.0,130.1457905544148,31.07624237492595,162.14831658994035,1463.6062221340883,13.507928243479906,MEDIUM,False
P002,W002,1333.0,9.0,131.0513347022587,32.15724582164626,159.178366817149,1338.6403791374776,10.171586600231896,HIGH,False
P002,W003,1676.0,12.0,130.6091718001369,31.425099438578897,179.6185672397254,1746.9286288413682,12.832176920658211,HIGH,False
P002,W004,1658.0,14.0,130.31416837782342,31.656188088982766,195.43690650040858,2019.8352637899366,12.723098498337613,HIGH,False
P003,W001,1112.0,4.0,82.34839151266256,19.46971073512972,64.25004542592808,393.6436114765783,13.503603161805653,LOW,False
P003,W002,962.0,10.0,81.72484599589322,19.825357156007342,103.4439186648472,920.6923786237794,11.771206030150754,MEDIUM,False
P003,W003,922.0,6.0,82.35660506502396,20.050368232896417,81.03673268708397,575.1763630772277,11.195216209702219,LOW,False
P003,W004,793.0,5.0,82.13347022587268,19.74964839822203,72.86656797773809,483.5339191071015,9.655016375409385,LOW,False
P004,W001,1045.0,14.0,67.68035592060232,16.210636754391317,100.08017044802274,1047.6051533364553,15.440226130399168,HIGH,False
P004,W002,873.0,11.0,67.39561943874058,16.086311120175242,88.03122610679586,829.3830399329423,12.953364139541971,MEDIUM,False
P004,W003,1028.0,14.0,67.4599589322382,16.201279071726304,100.0223985979528,1044.4618236492875,15.23866922351079,HIGH,False
P004,W004,376.0,7.0,67.39698836413416,16.317394423952962,71.23341668904712,543.0123352379862,5.578884296261691,HIGH,False
